page,sentence,citations
02,"Noah Chomsky, one of the first linguists of twelfth century that started
syntactic theories, marked a unique position in the field of theoretical linguistics because he
revolutionized the area of syntax (Chomsky, 1965) [23]","[23]; (Chomsky, 1965)"
04,"3716                                            Multimedia Tools and Applications (2023) 82:3713–3744


Phonology is “the study of sound pertaining to the system of language” whereas Lass1998
[66]wrote that phonology refers broadly with the sounds of language, concerned with sub-
discipline of linguistics, behavior and organization of sounds",[66]
05,"For example,
in the sentences “ram beats shyam in a competition” and “shyam beats ram in a competition”,
only syntax is different but convey different meanings [139]",[139]
05,"Liddy, 2001) [68]",[68]
05,"That is why, to get the proper meaning of the sentence, the appropriate interpre-
tation is considered by looking at the rest of the sentence [44]",[44]
05,"It focuses on the properties
of the text that convey meaning by interpreting the relations between sentences and uncovering
linguistic structures from texts at several levels (Liddy,2001) [68]",[68]
06,"When a sentence is not specific and the context does not provide any specific
information about that sentence, Pragmatic ambiguity arises (Walton, 1996) [143]","[143]; (Walton, 1996)"
06,"[112] purposed a novel modular system for cross-lingual event extraction
for English, Dutch, and Italian Texts by using different pipelines for different languages",[112]
07,"The ambiguity can be solved by various methods such as
Minimizing Ambiguity, Preserving Ambiguity, Interactive Disambiguation and Weighting
Ambiguity [125]",[125]
07,"2015, Umber & Bajwa 2011) [39, 46, 65, 125, 139]","[39, 46, 65, 125, 139]"
08,"The only requirement is the
speaker must make sense of the situation [91]",[91]
08,"Russian and
English were the dominant languages for MT (Andreev,1967) [4]",[4]
08,"But later, some MT production systems were providing output to their customers
(Hutchins, 1986) [60]","[60]; (Hutchins, 1986)"
08,", 1961) [51]",[51]
08,"LUNAR (Woods,1978) [152] and
Winograd SHRDLU were natural successors of these systems, but they were seen as
stepped-up sophistication, in terms of their linguistic and their task processing capabilities",[152]
08,"There was a widespread belief that progress could only be made on the two sides, one is
ARPA Speech Understanding Research (SUR) project (Lea, 1980) and other in some major
system developments projects building database front ends","(Lea, 1980)"
08,", 1978) [55] were intended to go beyond LUNAR in interfacing the large databases",[55]
08,"By the end of the decade the powerful general purpose sentence processors like SRI’s Core
Language Engine (Alshawi,1992) [2] and Discourse Representation Theory (Kamp and
Reyle,1993) [62] offered a means of tackling more extended discourse within the
grammatico-logical framework",[2]; [62]
08,", 1987) [18]",[18]
09,"Multimedia Tools and Applications (2023) 82:3713–3744                                      3721


but for the emphasis on heavy evaluation, starting a trend that became a major feature in 1990s
(Young and Chase, 1998; Sundheim and Chinchor,1993) [131, 157]","[131, 157]"
09,"Work on user modeling
(Wahlster and Kobsa, 1989) [142] was one strand in a research paper",[142]
09,"(2002) [28]
had put forwarded a first approximation of a compositional theory of tune interpretation,
together with phonological assumptions on which it is based and the evidence from which they
have drawn their proposals",[28]
09,"At the same time, McKeown (1985) [85] demonstrated that
rhetorical schemas could be used for producing both linguistically coherent and communica-
tively effective text",[85]
09,", 1988) [126] and probabilistic networks, statistically colored NLP,
the work on the lexicon, also pointed in this direction",[126]
09,"Statistical language processing was a
major thing in 90s (Manning and Schuetze,1999) [75], because this not only involves data
analysts",[75]
09,"Information extraction and automatic summarizing (Mani and Maybury,1999) [74]
was also a point of focus",[74]
09,"[12] proposed the concept of feed
forward neural network and lookup table which represents the n previous words in sequence",[12]
09,"[29] proposed the application of multitask learning in the field of NLP, where
two convolutional models with max pooling were used to perform parts-of-speech and named
entity recognition tagging",[29]
09,"[87] proposed a word embedding process where the
dense vector representation of text was addressed",[87]
09,"[132] proposed a general framework for sequence-to-
sequence mapping where encoder and decoder networks are used to map from sequence to
vector and vector to sequence respectively",[132]
09,"Later the use of CNNs can be observed in
tackling problems associated with NLP tasks like Sentence Classification [127], Sentiment
Analysis [135], Text Classification [118], Text Summarization [158], Machine Translation
[70] and Answer Relations [150]",[127]; [135]; [118]; [158]; [70]; [150]
09,"An article by Newatia (2019) [93] illustrates the general
architecture behind any CNN model, and how it can be used in the context of NLP",[93]
09,"One can
also refer to the work of Wang and Gang [145] for the applications of CNN in NLP",[145]
10,"3 A walkthrough of recent developments in NLP


Neural Networks those are recurrent in nature due to performing the same function for every
data, also known as Recurrent Neural Networks (RNNs), have also been used in NLP, and
found ideal for sequential data such as text, time series, financial data, speech, audio, video
among others, see article by Thomas (2019) [137]",[137]
10,"One of the modified versions of RNNs is
Long Short-Term Memory (LSTM) which is also very useful in the cases where only the
desired important information needs to be retained for a much longer time discarding the
irrelevant information, see [52, 58]","[52, 58]"
10,"Further development in the LSTM has also led to a slightly
simpler variant, called the gated recurrent unit (GRU), which has shown better results than
standard LSTMs in many tasks [22, 26]","[22, 26]"
10,"Attention mechanisms [7] which suggest a network to
learn what to pay attention to in accordance with the current hidden state and annotation
together with the use of transformers have also made a significant development in NLP, see
[141]",[7]; [141]
10,"[30] proposed a novel neural architecture Transformer-XL (XL as extra-
long) which enables learning dependencies beyond a fixed length of words",[30]
10,"[104] on the Compressive Transformer, an attentive sequence model which
compresses memories for long-range sequence learning, may be helpful for the readers",[104]
10,"[98] on uses of Deep Learning for NLP, and",[98]
11,"The use of BERT (Bidirectional Encoder Representations
from Transformers) [33] model and successive models have also played an important role for
NLP",[33]
11,",2003) [156] works by extracting sentiments about a given topic, and it consists
of a topic specific feature term extraction, sentiment extraction, and association by relationship
analysis",[156]
11,", 2017) [160], Sanskrit (Tapswi & Jain, 2012) [136], Hindi (Ranjan &
Basu, 2003) [105] to efficiently tag and classify words as nouns, adjectives, verbs etc",[160]; [136]; [105]
11,"Authors
in [136] have used treebank technique for creating rule-based POS Tagger for Sanskrit
Language",[136]
11,"(2004) [34] used supervised machine learning approach and adopted
Support Vector Machines (SVMs) which were trained on the Arabic Treebank to automati-
cally tokenize parts of speech tag and annotate base phrases in Arabic text",[34]
11,", 2008) [83,
122, 130] used CoNLL test data for chunking and used features composed of words, POS tags,
and tags","[83,
122, 130]"
11,"Ritter (2011) [111] proposed the classification of named entities in tweets
because standard NLP tools did not perform well on tweets",[111]
11,"Sharma (2016) [124] analyzed the conversations in Hinglish
means mix of English and Hindi languages and identified the usage patterns of PoS",[124]
12,"(2020) [120] proposed an efficient emotion detection method by searching emotional
words from a pre-defined emotional keyword database and analyzing the emotion words,
phrasal verbs, and negation words",[120]
12,", 2005) [100] formalism, one assigns roles to words that are
arguments of a verb in the sentence",[100]
12,",2011) [13], using a graphical model to
analyze any social media feeds to determine whether it contains the name of a person or name
of a venue, place, time etc",[13]
12,", 1997) [138], generation string accuracy (Bangalore et al",[138]
12,", 2000) [8], multi-reference
word error rate (Nießen et al",[8]
12,", 2000) [95], BLEU score (Papineni et al",[95]
12,", 2002) [101], NIST
score (Doddington, 2002) [35] All these criteria try to approximate human assessment and
often achieve an astonishing degree of correlation to human subjective evaluation of fluency
and adequacy (Papineni et al","[101]; [35]; (Doddington, 2002)"
12,", 2001; Doddington, 2002) [35, 101]","[35, 101]"
13,"For
example, The Carnegie Group’s Construe system (Hayes, 1991) [54], inputs Reuters articles
and saves much time by doing the work that is to be done by staff or human indexers","[54]; (Hayes, 1991)"
13,"c) Spam Filtering

It works using text categorization and in recent times, various machine learning techniques
have been applied to text categorization or Anti-Spam Filtering like Rule Learning (Cohen
1996) [27], Naïve Bayes (Sahami et al","[27]; (Cohen
1996); (Cohen
1996)"
13,",2000) [5,
109, 115],Memory based Learning (Sakkiset al","[5,
109, 115]"
13,",2000b) [117], Support vector machines
(Druker et al",[117]
13,", 1999) [36], Decision Trees (Carreras and Marquez, 2001) [19], Maximum
Entropy Model (Berger et al",[36]; [19]
13,"1996) [14], Hash Forest and a rule encoding method (T",[14]
13,"Xia,
2020) [153], sometimes combining different learners (Sakkis et al",[153]
13,", 2001) [116]",[116]
13,"The
naïve bayes is preferred because of its performance despite its simplicity (Lewis, 1998) [67] In
Text Categorization two types of models have been used (McCallum and Nigam, 1998) [77]","[67]; [77]; (Lewis, 1998)"
13,", 2000) [5] [15]",[5]; [15]
14,"In Information Retrieval two types of models have been used (McCallum and Nigam, 1998)
[77]",[77]
14,"Knowledge discovery research use a variety of techniques to extract useful information from
source documents like Parts of Speech (POS) tagging, Chunking or Shadow Parsing, Stop-
words (Keywords that are used and must be removed before processing documents), Stemming
(Mapping words to some base for, it has two methods, dictionary-based stemming and Porter
style stemming (Porter, 1980) [103]","[103]; (Porter, 1980)"
14,"For example, CONSTRUE, it was developed for Reuters, that is used in
classifying news stories (Hayes, 1992) [54]","[54]; (Hayes, 1992)"
14,"PROMETHEE is a system that extracts lexico-syntactic patterns relative to a
specific conceptual relation (Morin,1999) [89]",[89]
14,", 1999) [16] approach for the
analysis of a real-life natural language corpus that consists of responses to open-ended
questionnaires in the field of advertising",[16]
14,"(1998)
[48]) that extracts information from life insurance applications",[48]
14,"(1998) [1]
suggested a mainstream framework for text mining that uses pragmatic and discourse level
analyses of text",[1]
15,2008 [159]; Fattah and Ren 2009 [43]),[159]; [43]
15,"Summaries can also be of two types:
generic or query-focused (Gong and Liu 2001 [50]; Dunlavy et al",[50]
15,"2007 [37]; Wan 2008 [144];
Ouyang et al",[37]; [144]
15,2011 [99]),[99]
